日付,入館,入館割引,延長料金,個室・家族風呂,回数券販売,館内着・タオル類,物販10％,物販8％,温浴小計,飲食小計,その他小計,合計,大人　時間制（売上）,大人　時間制(人）,大人　時間制(客単価),大人　フリー（売上）,大人　フリー(人）,大人　フリー(客単価),大人　ゆうだいコース（売上）,大人　ゆうだいコース(人）,大人　ゆうだいコース(客単価),子供　時間制（売上）,子供　時間制(人）,子供　時間制(客単価),子供　フリー（売上）,子供　フリー(人）,子供　フリー(客単価),子供　ゆうだいコース（売上）,子供　ゆうだいコース(人）,子供　ゆうだいコース(客単価),回数券　時間制(人数）,回数券　フリー(人数),雄大関係（売上）,雄大関係(人）,雄大関係(客単価),特別割引,アソビュー,ニフティ　時間制,ニフティ　会員フリー,ゴルフ割引,レジャパス,JTB電子チケット,JAF割引,その他,その他入館割引,その他(未手続き),合計
2024年06月30日(日),391027,-12677,909,10727,55636,8509,2736,7176,464043,191450,8273,663766,166673,206,809,97300,77,1264,67127,52,1291,16364,40,409,5409,7,773,7200,9,800,82,12,909,2,455,0,2727,0,0,0,0,21045,0,0,0,0,391027
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
