"ｺｰﾄﾞ","勘定科目名"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"
"7114","受取配当金","36,000,000","0","1,938","0","1,210","0","0","75,000","3,000,000","0","509","0"
"7118","雑収入","3,217,542","5,329,510","5,908,715","329,332","356,802","5,807,374","6,883,922","853,715","161,989","3,907,813","14,255,081","1,002,512"
,"営業外収益計","39,217,564","5,404,518","6,927,776","329,348","434,360","5,674,488","6,883,930","928,721","3,162,001","3,907,830","14,333,079","1,002,967"
"7511","支払利息","250,487","507,801","558,266","244,247","702,033","730,262","499,306","364,786","-734,863","459,562","759,830","157,392"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","-3,276","0","-13,824","-38,869","0","0","0","-35,238","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","1,000,000","0","0","0","0","0","0"
"7519","雑損失","0","1,200,000","0","97,799","0","38,912","0","0","0","0","0","0"
,"営業外費用計","250,487","1,707,801","554,990","342,046","688,209","1,730,305","499,306","364,786","-734,863","424,324","759,830","157,392"
,"経常利益（損失）","10,477,619","-2,677,381","-3,785,630","-15,612,057","-5,292,733","194,988,947","-4,658,706","-17,237,211","-10,648,149","-10,113,765","3,048,873","-24,788,527"
