コード,科目名,3年 4月,3年 5月,3年 6月,3年 7月,3年 8月,3年 9月,3年 10月,3年 11月,3年 12月,4年 1月,4年 2月,4年 3月,4年 4月,4年 5月,4年 6月,4年 7月,4年 8月,4年 9月,4年 10月,4年 11月,4年 12月,5年 1月,5年 2月,5年 3月,5年 4月,5年 5月,5年 6月,5年 7月,5年 8月,5年 9月,5年 10月,5年 11月,5年 12月,6年 1月,6年 2月,6年 3月,6年 4月,6年 5月,6年 6月,6年 7月,6年 8月
778,支払手数料,2823534,2594850,3124249,2684907,2620452,2672186,3395856,2587932,2544987,2712497,2810133,5226333,2847952,2540502,3267278,2768823,2917819,2748898,2955287,2800528,2892864,2934343,2764398,2834287,2833395,2846900,3440810,3261022,2871063,2803701,2911409,2857661,2808794,2899202,2856712,3799496,4647519,3396453,3280302,3496187,2998761
779,雑  費,1218,1664,853,1617,2473,1881,3709,1944,1618,36300,2804,2856,1635,2411,626,1599,3686,2491,3027,3543,1019,37892,2291,4592,1989,2308,1134,1253,1227,3081,618,1610,35609,946,1079,2168,1417,1789,1146,1527,355
,販売費及び一般管理費,38327357,47106372,49240745,45538128,45171698,45690841,67272450,49066043,49045487,46435663,58071414,50761028,50942308,51316758,167670592,50337283,50682962,50658448,51551079,50056825,53385953,99293103,50185511,51345759,46145203,48150004,52400727,47461155,47309356,45963460,51969729,50414154,54798155,49998693,51706402,55965390,53188331,55442067,56738986,55203449,52372464
,営業利益,8648815,633935,-2351927,1973615,2850205,389685,-20803840,-3054776,-3317081,134533,-11771133,-1362063,-1428055,-1086071,-117135947,1177730,798412,830948,-174984,1472047,-1666342,-46979956,1493853,21442608,-756004,-1919786,-5518243,-475137,633924,948042,-4382106,748266,-5934718,-781202,-1359660,20874360,-4734544,-6629570,-7263484,-6130703,-1715096
800,受取利息,1322,1161,1026,746,1841,848,648,572,412959,140,1338,141,54,40,412540,40,1229,60,62,10,412550,50,1116,50,50,50,412550,596564,867,113,102,80,412580,80,828,80,90,80,412580,80,9906
801,受取配当金,0,0,20000400,0,0,0,0,0,0,0,0,0,0,0,100000400,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,1000,0,0
802,受取保険金,63401668,280030,0,0,0,0,0,0,0,0,0,0,500000,365300,102720399,0,0,17074800,0,0,8422500,1339,0,0,0,0,0,0,0,0,0,0,0,1102384,0,0,0,0,0,0,0
810,投資有価証券売却益,0,0,815517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820,雑収入,6293335,7578124,47075630,6083487,6418568,6046691,5991546,15122288,7105506,6101248,5875762,6088391,6614522,7042377,7847735,6446976,6501277,6468071,7649827,6900498,7930666,7404458,6682655,6909330,6014588,6396003,27399264,6034180,5970969,6081090,6256510,6706640,7564410,5875129,6563723,6160403,6813297,6617665,6753880,6288177,6240855
,営業外収益,69696325,7859315,67892573,6084233,6420409,6047539,5992194,15122860,7518465,6101388,5877100,6088532,7114576,7407717,210981074,6447016,6502506,23542931,7649889,6900508,16765716,7405847,6683771,6909380,6014638,6396053,27812214,5971656,5971836,6081203,6256612,6706720,7976990,6977593,6564551,6160483,6813387,6617745,7167460,6288257,6250761
